task_id,application,players,replicate,seed,budget,method,mse,efficiency_error,data_sha256,source_path
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,64,RegressionMSR,0.0016287011380141582,9.987361407892692e-07,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,64,LeverageSHAP,0.026172725924259017,1.1102230246251565e-16,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,64,ShaplEIG,1.3026535604323483e-05,1.0989169394459708e-06,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,16,KernelSHAP,1.4078998245976613,1.4104375667400859e-08,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,16,PermutationSampling,0.07011945821270761,0.0,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,16,RegressionMSR,0.004543247099305336,2.6367342786937087e-07,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,16,LeverageSHAP,0.08980403711196674,5.551115123125783e-16,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,16,ShaplEIG,0.002507118180642476,9.856893706805536e-07,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,24,KernelSHAP,0.0342146099865864,9.427667424510844e-09,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,24,PermutationSampling,0.029395040106599248,0.0,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,24,RegressionMSR,0.0016503592866358313,6.3114202930592e-07,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
