application,replicate,budget,method,mse,efficiency_error,data_sha256
ImageNet ViT-9 local explanation,6,16,GP-uncertainty,0.007060792642357992,2.6079951047641714e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,16,ShaplEIG,0.005102559351671938,2.1275952053478875e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,24,GP-LeverageSHAP,0.002299015602861154,2.3822824690711286e-07,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,24,GP-random,0.006755691808016758,2.9692134665415537e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,24,GP-uncertainty,0.009827741674850643,9.51167504981143e-07,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,24,ShaplEIG,0.0030798301166022586,2.4293492059124233e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,32,GP-LeverageSHAP,0.0018555668527338379,2.8885791156785245e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,32,GP-random,0.0029134682478017247,2.829844036655871e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,32,GP-uncertainty,0.0049292776264600454,2.426847763303819e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,32,ShaplEIG,0.002722645148833362,1.3585886460276697e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,48,GP-LeverageSHAP,0.003578825165208895,1.5266897187560247e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,48,GP-random,0.001951403792992847,1.6925385554200645e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,48,GP-uncertainty,0.0014944665306743524,1.3575021658995823e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,48,ShaplEIG,0.0045586255281975085,5.591251466263714e-07,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,GP-LeverageSHAP,0.004261848377143254,6.76995594695029e-07,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,GP-random,0.003152137259943731,2.570802415946538e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,GP-uncertainty,0.0015890718351553841,3.444406967423319e-07,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,64,ShaplEIG,0.0014451875385645665,3.1475302419980977e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,7,16,GP-LeverageSHAP,0.0007639596814673481,8.09440941718087e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,GP-random,0.005773427081418152,3.28302093066668e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,GP-uncertainty,0.00023089166767830958,7.711391500908604e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,16,ShaplEIG,0.004414491278755043,1.4139767459120378e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,GP-LeverageSHAP,0.0004523106242024244,6.826962274386617e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,GP-random,0.00023249041209896166,4.6638816741939593e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,GP-uncertainty,0.00043775717749045245,7.209310560751803e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,24,ShaplEIG,0.0005015974129539812,3.9835984431135785e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,GP-LeverageSHAP,0.0002835447752387693,1.5622815109139765e-05,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,GP-random,0.0003712628800338761,2.332794493131729e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,GP-uncertainty,0.00033607315862284884,5.55428947612846e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,32,ShaplEIG,0.0003615999193633308,1.1235029709899536e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,GP-LeverageSHAP,0.00033786606718816506,1.011876445045079e-05,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,GP-random,0.0001553183253761932,2.2330881217502707e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,GP-uncertainty,0.000256997211328891,3.684324880737222e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,48,ShaplEIG,5.733531565173128e-05,2.665716657634931e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,GP-LeverageSHAP,3.8499974913957443e-05,2.0375945222195213e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,GP-random,0.00012587137166892483,2.5530921121674766e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,7,64,GP-uncertainty,0.00017311569356285615,2.960001943552726e-07,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
