application,replicate,budget,method,mse,efficiency_error,data_sha256
ImageNet ViT-9 local explanation,2,48,GP-LeverageSHAP,0.0011538731027291088,9.68693269542964e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,48,KernelSHAP,0.0010846663362737746,2.7076617614696374e-09,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,48,SVARM,0.005284551364514811,0.5320138597376731,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,48,UnbiasedKernelSHAP,0.00483873351368803,1.1102230246251565e-16,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,48,PermutationSampling,0.004271595128894645,0.0,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,48,RegressionMSR,0.000825202934945622,8.441429599770345e-08,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,48,LeverageSHAP,0.0010846671732442678,0.0,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,ShaplEIG,0.0002866092807405741,2.122870750298489e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,ShaplEIG-fixed,9.50258530496266e-05,4.2417455980992e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,GP-random,0.0002499699741245238,4.0076694807211766e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,GP-uncertainty,0.0004467492504573587,2.0394302424620037e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,GP-LeverageSHAP,0.0007725305481207236,1.510433131635125e-05,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,KernelSHAP,0.0002636528192236411,2.8494726578287555e-09,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,SVARM,0.002732785495925576,0.32786333013017543,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
